date,BANK,IT,FMCG,AUTO,PHARMA,FIN_SVC,METAL,ENERGY,REALTY,INFRA,MEDIA,PSU_BANK,PVT_BANK
2015-01-22,19917.41796875,11850.849609375,20670.80078125,8842.0,11509.5,7995.5,2580.75,8693.0,216.35000610351562,3227.550048828125,2410.699951171875,4373.5498046875,
2015-01-23,20072.466796875,11885.150390625,20744.19921875,8983.099609375,11581.099609375,8046.2998046875,2602.85009765625,8748.4501953125,219.60000610351562,3303.14990234375,2408.949951171875,4382.39990234375,
2015-01-27,20555.01171875,11693.4501953125,20985.599609375,9099.599609375,11583.25,8239.2001953125,2583.75,8765.5498046875,222.25,3343.25,2408.800048828125,4385.35009765625,
2015-01-28,20491.51171875,11809.5498046875,21027.849609375,9043.150390625,11577.75,8269.25,2546.10009765625,8852.5,225.1999969482422,3280.10009765625,2395.300048828125,4419.25,
2015-01-29,20528.361328125,11824.150390625,21293.099609375,9049.7001953125,11752.0498046875,8248.349609375,2540.5,8956.5498046875,231.4499969482422,3301.199951171875,2391.949951171875,4299.14990234375,
2015-01-30,19843.51953125,11824.75,21165.75,8930.849609375,11693.5498046875,7987.7001953125,2513.300048828125,8920.650390625,236.8000030517578,3294.39990234375,2357.35009765625,4046.449951171875,
2015-02-02,19865.669921875,11943.9501953125,20840.19921875,8976.099609375,11627.650390625,8025.25,2501.949951171875,8887.400390625,238.10000610351562,3304.64990234375,2345.449951171875,4039.60009765625,
2015-02-03,19382.724609375,11963.900390625,21052.80078125,8919.7001953125,11520.0,7823.60009765625,2521.800048828125,9037.150390625,234.85000610351562,3292.949951171875,2347.199951171875,3924.60009765625,
2015-02-04,19173.77734375,11938.900390625,20991.44921875,8812.5,11625.7001953125,7747.75,2574.449951171875,9050.2001953125,237.5500030517578,3251.14990234375,2316.5,3864.449951171875,
2015-02-05,19051.6796875,12165.150390625,21093.94921875,8749.650390625,11522.099609375,7729.0,2525.10009765625,8910.849609375,231.1999969482422,3190.550048828125,2295.0,3784.64990234375,
2015-02-06,18786.48046875,12267.9501953125,21286.19921875,8496.2998046875,11322.9501953125,7690.75,2507.050048828125,8808.7001953125,229.8000030517578,3174.10009765625,2275.89990234375,3766.699951171875,
2015-02-09,18403.634765625,12249.2998046875,20995.099609375,8294.4501953125,11289.400390625,7561.10009765625,2440.64990234375,8708.2001953125,223.9499969482422,3057.0,2270.14990234375,3635.550048828125,
2015-02-10,18752.28125,12162.849609375,21069.5,8436.0498046875,11283.5,7638.60009765625,2477.85009765625,8652.5498046875,223.8000030517578,3073.14990234375,2264.699951171875,3704.85009765625,
2015-02-11,18940.580078125,12243.400390625,21252.150390625,8514.150390625,11391.7001953125,7688.9501953125,2520.10009765625,8721.650390625,225.25,3122.449951171875,2255.5,3726.75,
2015-02-12,19128.376953125,12372.0,21224.19921875,8654.2998046875,11598.25,7773.9501953125,2530.050048828125,8821.400390625,228.64999389648438,3178.14990234375,2316.14990234375,3693.800048828125,
2015-02-13,19369.474609375,12464.9501953125,21616.44921875,8759.0,11789.900390625,7874.25,2555.35009765625,8832.099609375,226.4499969482422,3192.550048828125,2338.89990234375,3901.550048828125,
2015-02-16,19189.7265625,12487.2001953125,22009.0,8792.5498046875,11680.25,7845.75,2555.199951171875,8790.0,229.1999969482422,3192.800048828125,2322.050048828125,3892.550048828125,
2015-02-18,19296.275390625,12632.75,22195.75,8884.849609375,11741.25,7928.89990234375,2537.5,8806.5,228.10000610351562,3210.85009765625,2322.949951171875,3887.0,
2015-02-19,19188.078125,12723.7998046875,21989.349609375,8871.650390625,11734.5,7925.89990234375,2631.0,8831.5,229.64999389648438,3245.39990234375,2305.14990234375,3839.949951171875,
2015-02-20,19073.328125,12571.9501953125,22149.94921875,8874.650390625,11746.5,7847.5,2622.050048828125,8669.7998046875,231.9499969482422,3220.449951171875,2316.85009765625,3875.050048828125,
2015-02-23,18913.1796875,12531.2998046875,21902.94921875,8804.150390625,11640.7998046875,7767.0,2601.199951171875,8551.4501953125,228.10000610351562,3218.85009765625,2266.89990234375,3806.14990234375,
2015-02-24,18883.58203125,12566.2001953125,22231.849609375,8777.7001953125,11663.849609375,7757.9501953125,2568.800048828125,8470.0,229.10000610351562,3239.14990234375,2295.60009765625,3784.050048828125,
2015-02-25,18732.833984375,12633.349609375,22295.150390625,8781.2998046875,11533.5,7759.89990234375,2556.800048828125,8467.0,229.89999389648438,3227.25,2270.800048828125,3770.89990234375,
2015-02-26,18537.884765625,12458.5,22070.900390625,8640.7001953125,11412.2998046875,7711.39990234375,2529.64990234375,8506.599609375,230.8000030517578,3211.199951171875,2239.300048828125,3685.89990234375,
2015-02-27,19074.328125,12554.9501953125,22063.94921875,8841.7998046875,11554.7998046875,7879.5,2606.35009765625,8661.0498046875,241.10000610351562,3326.64990234375,2246.64990234375,3836.550048828125,
2015-03-02,20007.8671875,12663.7001953125,20648.650390625,8919.5498046875,12024.0498046875,8153.0498046875,2599.800048828125,8711.7001953125,238.60000610351562,3371.550048828125,2229.699951171875,3856.39990234375,
2015-03-03,19960.966796875,12855.900390625,20661.400390625,8838.7998046875,12166.2001953125,8179.7998046875,2586.25,8861.849609375,234.89999389648438,3384.85009765625,2259.5,3902.60009765625,
2015-03-04,19643.671875,12730.599609375,20743.400390625,8777.849609375,12326.7998046875,8084.25,2519.89990234375,8746.0498046875,234.25,3359.800048828125,2226.75,3783.85009765625,
2015-03-05,19747.76953125,12665.5,21005.849609375,8825.650390625,12632.5,8150.4501953125,2474.800048828125,8743.25,234.14999389648438,3347.75,2240.0,3791.10009765625,
2015-03-09,19145.328125,12422.25,20878.05078125,8727.0498046875,12676.900390625,7928.75,2414.300048828125,8551.5,227.60000610351562,3245.5,2207.050048828125,3732.10009765625,
2015-03-10,19054.1796875,12405.0498046875,20773.25,8756.400390625,12631.9501953125,7822.25,2427.75,8465.9501953125,223.0,3259.89990234375,2218.89990234375,3707.550048828125,
2015-03-11,19043.779296875,12352.349609375,20778.5,8761.5,12515.75,7830.35009765625,2386.75,8430.900390625,224.3000030517578,3289.35009765625,2215.800048828125,3682.10009765625,
2015-03-12,19141.626953125,12423.650390625,21107.849609375,8851.650390625,12663.7001953125,7883.7001953125,2423.0,8543.0498046875,227.75,3355.300048828125,2251.550048828125,3714.800048828125,
