sector,BANK,IT,FMCG,AUTO,PHARMA,FIN_SVC,METAL,ENERGY,REALTY,INFRA,MEDIA,PSU_BANK,PVT_BANK
BANK,1.0,0.32243868696730166,0.41860229312531694,0.5871225289304052,0.293525424894538,0.9641850283330919,0.515144948846705,0.5322969335079035,0.5630243415785794,0.6623206893243289,0.4595833580524079,0.7008323873507313,0.9863122419487488
IT,0.32243868696730166,1.0,0.37202518330129686,0.3934467370533997,0.406314232804315,0.36469772181615057,0.3672729505410295,0.3229233547762084,0.36256544207691427,0.4650515663749288,0.3311898331659908,0.23487526315855586,0.3275164866840341
FMCG,0.41860229312531694,0.37202518330129686,1.0,0.4968840035993536,0.4208466475610158,0.44899314425772013,0.3500708981100227,0.4177018722592705,0.41834799773410425,0.5410954762546316,0.3773211870128059,0.34222874513407553,0.4230316693622483
AUTO,0.5871225289304052,0.3934467370533997,0.4968840035993536,1.0,0.43250587598996154,0.5949156880876848,0.5491488924018995,0.5949991463950256,0.6182864676752958,0.736552165977849,0.5574758024149539,0.5389176100612073,0.5917357363791579
PHARMA,0.293525424894538,0.406314232804315,0.4208466475610158,0.43250587598996154,1.0,0.3157033565877623,0.4215657739254714,0.3578722949819739,0.41474161585370356,0.4782762909673903,0.38480488788327766,0.2666304794579742,0.298487026502062
FIN_SVC,0.9641850283330919,0.36469772181615057,0.44899314425772013,0.5949156880876848,0.3157033565877623,1.0,0.513228961451857,0.5238523763931159,0.5705158898042202,0.6754125321715184,0.44723720868119743,0.6205211812983774,0.9509646080071426
METAL,0.515144948846705,0.3672729505410295,0.3500708981100227,0.5491488924018995,0.4215657739254714,0.513228961451857,1.0,0.6624316949531069,0.5819170656564172,0.7093115207437324,0.5427531990508712,0.5464873511993881,0.5071395166485976
ENERGY,0.5322969335079035,0.3229233547762084,0.4177018722592705,0.5949991463950256,0.3578722949819739,0.5238523763931159,0.6624316949531069,1.0,0.5597749598924457,0.8641579542557655,0.5458842924283618,0.5866212764856816,0.52287874777391
REALTY,0.5630243415785794,0.36256544207691427,0.41834799773410425,0.6182864676752958,0.41474161585370356,0.5705158898042202,0.5819170656564172,0.5597749598924457,1.0,0.7059891886827543,0.5774367324406826,0.5663138316111208,0.5659089308715783
INFRA,0.6623206893243289,0.4650515663749288,0.5410954762546316,0.736552165977849,0.4782762909673903,0.6754125321715184,0.7093115207437324,0.8641579542557655,0.7059891886827543,1.0,0.6302734127005318,0.6362400816381506,0.6578081858279414
MEDIA,0.4595833580524079,0.3311898331659908,0.3773211870128059,0.5574758024149539,0.38480488788327766,0.44723720868119743,0.5427531990508712,0.5458842924283618,0.5774367324406826,0.6302734127005318,1.0,0.5310388833478674,0.4665284454383344
PSU_BANK,0.7008323873507313,0.23487526315855586,0.34222874513407553,0.5389176100612073,0.2666304794579742,0.6205211812983774,0.5464873511993881,0.5866212764856816,0.5663138316111208,0.6362400816381506,0.5310388833478674,1.0,0.6500962205599267
PVT_BANK,0.9863122419487488,0.3275164866840341,0.4230316693622483,0.5917357363791579,0.298487026502062,0.9509646080071426,0.5071395166485976,0.52287874777391,0.5659089308715783,0.6578081858279414,0.4665284454383344,0.6500962205599267,1.0
