sector,BANK,IT,FMCG,AUTO,PHARMA,FIN_SVC,METAL,ENERGY,REALTY,INFRA,MEDIA,PSU_BANK,PVT_BANK
BANK,1.0,0.6514206445418361,0.4766632126305789,0.7587731836534399,0.33856294801200704,0.9774873675205983,0.7743923889355019,0.739902903184104,0.8116293255985446,0.7953788727053314,0.6813097939470764,0.778152067957708,0.9930291759765668
IT,0.6514206445418361,1.0,0.5014435167844155,0.6569109376047412,0.39520182841851176,0.6779261495840294,0.686117111793599,0.6882704606426032,0.6017747741910989,0.7051320694917741,0.6307025057058543,0.5762477013509093,0.6463603833033534
FMCG,0.4766632126305789,0.5014435167844155,1.0,0.5769074881448607,0.5835183253065438,0.4860184668715874,0.6023029956067526,0.5692019347557894,0.5481880711151824,0.6111282063950483,0.5140618297954211,0.44167610975084737,0.46004293197116797
AUTO,0.7587731836534399,0.6569109376047412,0.5769074881448607,1.0,0.4397648092297591,0.7734810414972275,0.8269893970907368,0.7806625652427795,0.7754067394929302,0.8563126854371319,0.7383839512424029,0.6767530664229227,0.7552613452961766
PHARMA,0.33856294801200704,0.39520182841851176,0.5835183253065438,0.4397648092297591,1.0,0.3540363495545895,0.5005723200790455,0.5809655627811574,0.4113760887089055,0.5720532396964257,0.4259840691692771,0.4246116238031911,0.3194151890874038
FIN_SVC,0.9774873675205983,0.6779261495840294,0.4860184668715874,0.7734810414972275,0.3540363495545895,1.0,0.7719589138283734,0.752082662102628,0.8142566222372685,0.8032569184863191,0.6848359439358812,0.7553094391705102,0.9677126221351605
METAL,0.7743923889355019,0.686117111793599,0.6023029956067526,0.8269893970907368,0.5005723200790455,0.7719589138283734,1.0,0.8182566623602291,0.7324561217140787,0.8664857273801331,0.7179511201168606,0.7493208265991177,0.7612512780758712
ENERGY,0.739902903184104,0.6882704606426032,0.5692019347557894,0.7806625652427795,0.5809655627811574,0.752082662102628,0.8182566623602291,1.0,0.7265578300497815,0.9372275538087955,0.7045510613293919,0.7213216725356288,0.7239531027429035
REALTY,0.8116293255985446,0.6017747741910989,0.5481880711151824,0.7754067394929302,0.4113760887089055,0.8142566222372685,0.7324561217140787,0.7265578300497815,1.0,0.7926998113032102,0.6701741302887144,0.7505484031774604,0.7983916222648123
INFRA,0.7953788727053314,0.7051320694917741,0.6111282063950483,0.8563126854371319,0.5720532396964257,0.8032569184863191,0.8664857273801331,0.9372275538087955,0.7926998113032102,1.0,0.7496195050709598,0.7321921743739191,0.7821588482803358
MEDIA,0.6813097939470764,0.6307025057058543,0.5140618297954211,0.7383839512424029,0.4259840691692771,0.6848359439358812,0.7179511201168606,0.7045510613293919,0.6701741302887144,0.7496195050709598,1.0,0.702660718299268,0.6651631435440949
PSU_BANK,0.778152067957708,0.5762477013509093,0.44167610975084737,0.6767530664229227,0.4246116238031911,0.7553094391705102,0.7493208265991177,0.7213216725356288,0.7505484031774604,0.7321921743739191,0.702660718299268,1.0,0.7423170138448635
PVT_BANK,0.9930291759765668,0.6463603833033534,0.46004293197116797,0.7552613452961766,0.3194151890874038,0.9677126221351605,0.7612512780758712,0.7239531027429035,0.7983916222648123,0.7821588482803358,0.6651631435440949,0.7423170138448635,1.0
