sector,BANK,IT,FMCG,AUTO,PHARMA,FIN_SVC,METAL,ENERGY,REALTY,INFRA,MEDIA,PSU_BANK,PVT_BANK
BANK,1.0,0.14761922716733908,0.5108466750728703,0.6476330725627997,0.3998469681712605,0.9420553550305767,0.570023661687716,0.5219519487465605,0.5763036315814706,0.694855554861121,0.47646095470152267,0.7505304950590049,0.9768488181787531
IT,0.14761922716733908,1.0,0.20199838284132401,0.17999808222518476,0.19506441446294376,0.16593499800681763,0.15247831799499187,0.16135406025468998,0.13793637968676997,0.19790876031144994,0.17572686568930562,0.09576992904066461,0.14315018803181906
FMCG,0.5108466750728703,0.20199838284132401,1.0,0.5055023648954685,0.32945261509086393,0.5489734305214289,0.36689527249851883,0.3600431825985173,0.39610170240146514,0.49730594047183,0.3527150924737658,0.3398492195770026,0.5155641072982212
AUTO,0.6476330725627997,0.17999808222518476,0.5055023648954685,1.0,0.43782630822815966,0.6611550085195571,0.632019341544936,0.5366534216084646,0.5975813417490045,0.6774109972196363,0.5171135693512138,0.5151782204540292,0.6489260965289027
PHARMA,0.3998469681712605,0.19506441446294376,0.32945261509086393,0.43782630822815966,1.0,0.39998396562743566,0.4382788961561315,0.36761839006929786,0.4360966740776075,0.45263084158842326,0.3854031783738338,0.3974693151057924,0.40126519904968
FIN_SVC,0.9420553550305767,0.16593499800681763,0.5489734305214289,0.6611550085195571,0.39998396562743566,1.0,0.5558421951824976,0.5223802223512747,0.5766384513168523,0.6899411099801731,0.47701698928210845,0.6667688765914835,0.9219089041814252
METAL,0.570023661687716,0.15247831799499187,0.36689527249851883,0.632019341544936,0.4382788961561315,0.5558421951824976,1.0,0.5151899783818978,0.5594749573490612,0.6548064896679231,0.47053478094472795,0.5270437384467515,0.5599154241305624
ENERGY,0.5219519487465605,0.16135406025468998,0.3600431825985173,0.5366534216084646,0.36761839006929786,0.5223802223512747,0.5151899783818978,1.0,0.45467737708841294,0.6226880501381322,0.3642828231714569,0.4414929395252233,0.5163800945828585
REALTY,0.5763036315814706,0.13793637968676997,0.39610170240146514,0.5975813417490045,0.4360966740776075,0.5766384513168523,0.5594749573490612,0.45467737708841294,1.0,0.6539395833167846,0.4818981567073865,0.5000143945211853,0.5750985371996564
INFRA,0.694855554861121,0.19790876031144994,0.49730594047183,0.6774109972196363,0.45263084158842326,0.6899411099801731,0.6548064896679231,0.6226880501381322,0.6539395833167846,1.0,0.49938947023597485,0.6147743669830336,0.6742588345674568
MEDIA,0.47646095470152267,0.17572686568930562,0.3527150924737658,0.5171135693512138,0.3854031783738338,0.47701698928210845,0.47053478094472795,0.3642828231714569,0.4818981567073865,0.49938947023597485,1.0,0.4287335888401112,0.4732910978031262
PSU_BANK,0.7505304950590049,0.09576992904066461,0.3398492195770026,0.5151782204540292,0.3974693151057924,0.6667688765914835,0.5270437384467515,0.4414929395252233,0.5000143945211853,0.6147743669830336,0.4287335888401112,1.0,0.6514208573193357
PVT_BANK,0.9768488181787531,0.14315018803181906,0.5155641072982212,0.6489260965289027,0.40126519904968,0.9219089041814252,0.5599154241305624,0.5163800945828585,0.5750985371996564,0.6742588345674568,0.4732910978031262,0.6514208573193357,1.0
