date,BANK,IT,FMCG,AUTO,PHARMA,FIN_SVC,METAL,ENERGY,REALTY,INFRA,MEDIA,PSU_BANK,PVT_BANK
2016-03-15,0.003202172982608482,-0.012631322326266042,-0.020620574446501734,-0.008529072695350417,-0.031715052911138505,-0.008254664937242912,0.0031947311409907383,0.0014268043539286937,0.0,-0.0021795889552290305,-0.02664291271940361,0.016264072917604813,0.0017347395320116107
2016-03-16,0.008763068470893459,0.006756892163391535,0.010415203998413775,-0.005122602874803733,0.004945579826646074,0.009571604859115913,-0.009478459870988526,-0.0003733677271071238,-0.006062624935144768,-0.002368382925667608,0.0008106197833962894,-0.0001490332174311464,0.01090435053540679
2016-03-17,-0.0011454458535629932,0.01107402716548508,0.00559015624702526,-0.001186894550214691,-0.01365394140443671,-0.002879105976091911,-0.0004094054016869448,0.0074341721391697315,-0.00950444267776111,0.007737612517474343,0.004609985645635413,0.0032090683720987986,0.0004601641820247713
2016-03-18,0.013560201718217561,0.02139266058899482,0.005646176587308605,0.013545512418933106,-0.01211058776369664,0.013523352762728664,0.024991514681901264,0.005773774040992227,0.018584754442959414,0.009508231528070446,0.007102562982471531,0.021951251074464318,0.012481396955841205
2016-03-21,0.01717845249494778,0.0030553930742532216,0.018901930409300532,0.01285619589445861,0.01284956010933907,0.017654823213750434,0.0038002274172042826,0.008805194944897258,0.019559694409608287,0.014500898611974867,0.003931442333485374,0.026525667036583354,0.015251530630062127
2016-03-22,0.0006214597515499603,0.001138370150738624,-0.016159675277450984,0.010060288732830198,-0.001621167507553869,0.004513303541863518,0.012572801064363115,0.006719902590370467,0.028161698496522992,0.0052339079438138295,0.0007542697410562154,-0.00038411740663815447,-0.0006881637692560006
2016-03-23,-0.003032302702316263,0.001921197060689996,0.001052553659512558,0.0054712611682002695,-0.0017130952431190847,-0.0029077995131277286,0.020583980765759964,-0.011600130848493777,-0.0012775278268356706,0.004442112356450533,0.00012926731378275962,-0.007286122978731636,-0.002005882623185288
2016-03-28,-0.01796340232864844,-0.005308812032340284,-0.008536206736707474,-0.014375563480511286,-0.02150513789202566,-0.01730898626875044,-0.05019730526772667,-0.002808002298408724,-0.04711369833589756,-0.017548687511671743,-0.01095891614876283,-0.0394496734866493,-0.016751940627313586
2016-03-29,0.003923769994774986,-0.004846666555295773,-0.0044982309856824295,0.009891602563173089,-0.02726603292160082,-0.001470884454377705,0.003877683278472994,0.004461407073482518,0.004012082220794811,-0.002958247370410737,-0.006379231651064997,0.005177909448974002,0.003671859615569047
2016-03-30,0.029472761328672405,0.012503899904121592,0.016152339198598133,0.016086137751624444,0.022707356573206713,0.021149231045935944,0.03517285794140671,0.016308648662321908,0.03829622474620316,0.021271479245592712,-0.0008550824312637367,0.04070817823401651,0.03014071560458198
2016-03-31,0.0004214125054136303,0.004852904836523238,0.0037106106226928314,0.00044523704444617034,0.007210308547238713,-0.0018980668480903685,-0.007474661652184061,-0.004181448391687658,0.005444408026526717,-0.001294238522066176,0.01804239920867202,-0.008761217976977879,0.0020214225967243576
2016-04-01,0.002057733340690935,-0.010189358312929388,0.01146746570617999,-0.007141306319174231,-0.005552720936441022,0.0016856772438631179,-0.006109664273753085,-0.009163909525566352,0.03020048905953435,0.0014901863259488997,0.0015499293410628713,0.020831370550131432,0.0015011030199926089
2016-04-04,0.0009701319508995767,0.0170978222017145,-0.005089937297229627,0.011699587760192384,0.0045375331324374385,-0.0009260181310481552,0.005926668114215102,0.0028709012212261844,-0.0071529407411862495,0.00895290680344961,0.013375145057831963,-0.006902371399745715,0.0023267729463456724
2016-04-05,-0.03108860675854883,-0.00995037458867894,-0.012913159183279465,-0.030169078115661677,-0.009251959856482951,-0.022928064415052338,-0.02684352724479787,-0.009228149491195827,-0.029777283965295567,-0.031941385899453556,-0.028939556571902985,-0.05270794720775865,-0.030188222347242836
2016-04-06,-0.0037054552335935133,-0.0044444714365342265,0.0011274486802716093,0.004663677424740889,0.002630505781096782,-0.0027854585996711736,0.02694808234284456,0.0054524271128801784,0.013097155954085494,0.007575244090677794,0.009133874210111703,-0.005789755490537504,-0.00481929176646513
2016-04-07,-0.006814802735282601,-0.010959716734501027,-0.014010924920117636,-0.01083508333389505,0.007199680873961783,-0.009739935326964688,-0.00695221531735988,0.0012881079176452063,-0.003178642156959499,-0.01207965360199176,-0.012197132977757428,-0.009178662914371798,-0.006669687947166414
2016-04-08,0.002418080589361666,-0.0037402756367223193,0.003483826418751145,-0.0016990778238737605,0.002559494336024809,0.004012410429532565,0.003416560485052235,0.005909970858867568,0.012968728290088837,0.010246031700602967,0.003936754809603277,0.004750010964377577,0.0017243300581383809
2016-04-11,0.015940157347869518,0.0205979069589533,0.010206519843217054,0.021659077182196,0.0011117540765518536,0.01025966817880712,0.019923500600182862,0.009908478390753208,0.01590049270734022,0.024999559737622478,0.010768454556656086,0.029119202707159873,0.014206615177314462
2016-04-12,0.0038929049395172105,0.0011595595215603035,-0.0022747251987785522,0.015389193408417278,0.009739521934756783,0.005653863505442236,-0.011120708535311953,0.008211054689555828,0.0015453565704512957,0.006515963521076606,0.01994706321523428,-0.000833420196172501,0.006933315975828873
2016-04-13,0.024775200235687158,0.004184221044537586,0.022123460295979638,0.034255248627487966,0.008327979267445053,0.02477931242616914,0.023085277358304325,0.014391994375814503,0.016235670951135796,0.010957644591653494,-0.0011437871891887181,0.020139775833075902,0.025886400492759597
2016-04-18,-0.003436750107003441,0.02138730921241726,0.01036011306536657,-0.0015726932734251998,0.008175331170857303,0.0007445324091937592,0.009736436528730495,0.001939865253999049,0.04341368769431537,0.01380383532583272,0.012090803558029163,-0.024275424697698653,-0.0008330404312773494
2016-04-20,0.007798023250663277,-0.0038444971757875222,-0.00036293875852727467,-0.005350467302939497,-0.004463102129242735,0.006683840438928783,0.040130220758615505,-0.009771769150282343,-0.0034862955127812154,0.005434828673715761,-0.005311238925715886,0.010638649108876914,0.006705003220217579
2016-04-21,0.017428634812106835,-0.017230067756371873,-0.008705908911955582,-0.002532826418737907,0.004706050544103654,0.014214837045934034,0.0008698911556278857,0.00365758859554364,-0.017616427072597397,-0.010501344836349397,-0.001664206332128275,0.03519985945723253,0.01717227244759162
2016-04-22,0.00397419083318793,-0.004532384801986847,-0.009742820625007888,0.009700116722666697,-0.0029990547739693176,-0.001392545538698185,-0.0038481364347981127,0.001976731217096428,-0.002372534676919397,0.004160920044945215,0.002779224258403268,0.024683836175950512,0.0007603502546485831
2016-04-25,-0.0014828502550848712,0.0010080144645390856,-0.008125372971691247,-0.009447683412686486,-0.009033525297062524,-0.004048544273603976,-0.012738703205780981,-0.01577803109410799,-0.005657284548747672,-0.004312515925048384,0.0005884909851255624,-0.01725413068852482,0.0009189797658276202
